time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active
1778196043.513,4719.270,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196044.015,4719.771,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196044.516,4720.272,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196045.017,4720.774,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196045.519,4721.276,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196046.021,4721.777,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196046.522,4722.278,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196047.023,4722.780,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196047.525,4723.281,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196048.026,4723.783,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196048.528,4724.284,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196049.029,4724.786,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196049.531,4725.287,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196050.032,4725.788,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196050.534,4726.290,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196051.035,4726.792,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196051.536,4727.293,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196052.038,4727.794,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196052.540,4728.296,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196053.041,4728.798,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196053.543,4729.299,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196054.044,4729.800,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196054.545,4730.302,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196055.047,4730.803,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196055.549,4731.305,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196056.050,4731.806,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196056.501,4732.258,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196057.003,4732.759,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196057.504,4733.260,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196058.005,4733.762,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196058.507,4734.263,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196059.008,4734.765,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196059.509,4735.266,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196060.011,4735.768,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196060.513,4736.269,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196061.014,4736.771,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196061.516,4737.272,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196062.018,4737.774,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196062.519,4738.276,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196063.021,4738.778,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196063.522,4739.279,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196064.024,4739.780,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196064.525,4740.281,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196065.026,4740.783,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196065.528,4741.284,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196066.029,4741.786,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196066.530,4742.287,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196067.032,4742.788,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196067.534,4743.290,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196068.035,4743.792,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196068.536,4744.293,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196069.038,4744.795,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196069.540,4745.296,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196070.041,4745.798,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196070.543,4746.299,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196071.044,4746.800,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196071.545,4747.302,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196072.047,4747.803,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196072.548,4748.305,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196073.050,4748.806,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196073.551,4749.308,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196074.003,4749.759,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196074.504,4750.260,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196075.005,4750.762,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196075.507,4751.263,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196076.008,4751.765,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196076.510,4752.266,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196077.012,4752.768,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196077.513,4753.270,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196078.015,4753.771,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196078.516,4754.272,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196079.018,4754.774,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196079.520,4755.276,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196080.021,4755.778,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196080.523,4756.279,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196081.024,4756.781,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196081.525,4757.282,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196082.027,4757.783,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196082.528,4758.285,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196083.030,4758.786,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196083.531,4759.288,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196084.032,4759.789,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196084.534,4760.290,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196085.035,4760.792,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196085.537,4761.293,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196086.038,4761.795,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196086.540,4762.296,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196087.041,4762.798,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196087.543,4763.299,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196088.044,4763.801,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196088.546,4764.302,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196089.047,4764.804,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196089.549,4765.305,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196090.050,4765.807,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196090.501,4766.258,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196091.003,4766.759,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196091.504,4767.261,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196092.006,4767.762,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196092.507,4768.264,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196093.009,4768.765,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196093.510,4769.267,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196094.012,4769.768,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196094.513,4770.270,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196095.015,4770.771,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196095.516,4771.272,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196096.018,4771.774,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196096.520,4772.276,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196097.021,4772.778,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196097.523,4773.279,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196098.024,4773.781,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196098.525,4774.282,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196099.027,4774.783,0,0,1,0,0,0,0,0,0,0,0,0,1
