time_unix,monotonic,target_heading_rad,heading_error_rad,source_angle_deg,source_angle_error_deg
1778197183.503,5859.259,0.0,0.0,0.0,0.0
1778197184.004,5859.760,0.0,0.0,0.0,0.0
1778197184.505,5860.262,0.0,0.0,0.0,0.0
1778197185.007,5860.763,0.0,0.0,0.0,0.0
1778197185.508,5861.265,0.0,0.0,0.0,0.0
1778197186.010,5861.766,0.0,0.0,0.0,0.0
1778197186.461,5862.217,0.0,0.0,0.0,0.0
1778197186.963,5862.719,0.0,0.0,0.0,0.0
1778197187.464,5863.220,0.0,0.0,0.0,0.0
1778197187.966,5863.722,0.0,0.0,0.0,0.0
1778197188.467,5864.224,0.0,0.0,0.0,0.0
1778197188.968,5864.725,0.0,0.0,0.0,0.0
1778197189.470,5865.226,0.0,0.0,0.0,0.0
1778197189.971,5865.728,0.0,0.0,0.0,0.0
1778197190.473,5866.229,0.0,0.0,0.0,0.0
1778197190.974,5866.731,0.0,0.0,0.0,0.0
1778197191.476,5867.232,0.0,0.0,0.0,0.0
1778197191.977,5867.734,0.0,0.0,0.0,0.0
1778197192.478,5868.235,0.0,0.0,0.0,0.0
1778197192.980,5868.736,0.0,0.0,0.0,0.0
1778197193.481,5869.238,0.0,0.0,0.0,0.0
1778197193.982,5869.739,0.0,0.0,0.0,0.0
1778197194.484,5870.240,0.0,0.0,0.0,0.0
1778197194.985,5870.742,0.0,0.0,0.0,0.0
1778197195.487,5871.243,0.0,0.0,0.0,0.0
1778197195.988,5871.745,0.0,0.0,0.0,0.0
1778197196.490,5872.246,0.0,0.0,0.0,0.0
1778197196.991,5872.748,0.0,0.0,0.0,0.0
1778197197.493,5873.250,0.0,0.0,0.0,0.0
1778197197.995,5873.751,0.0,0.0,0.0,0.0
1778197198.496,5874.253,0.0,0.0,0.0,0.0
1778197198.997,5874.754,0.0,0.0,0.0,0.0
1778197199.499,5875.255,0.0,0.0,0.0,0.0
1778197200.000,5875.757,0.0,0.0,0.0,0.0
1778197200.502,5876.258,0.0,0.0,0.0,0.0
1778197201.003,5876.759,0.0,0.0,0.0,0.0
1778197201.504,5877.261,0.0,0.0,0.0,0.0
1778197202.006,5877.763,0.0,0.0,0.0,0.0
1778197202.508,5878.264,0.0,0.0,0.0,0.0
1778197203.009,5878.766,0.0,0.0,0.0,0.0
1778197203.510,5879.267,0.0,0.0,0.0,0.0
1778197203.962,5879.718,0.0,0.0,0.0,0.0
1778197204.463,5880.220,0.0,0.0,0.0,0.0
1778197204.965,5880.721,0.0,0.0,0.0,0.0
1778197205.466,5881.223,0.0,0.0,0.0,0.0
1778197205.968,5881.724,0.0,0.0,0.0,0.0
1778197206.469,5882.226,0.0,0.0,0.0,0.0
1778197206.970,5882.727,0.0,0.0,0.0,0.0
1778197207.472,5883.228,0.0,0.0,0.0,0.0
1778197207.973,5883.730,0.0,0.0,0.0,0.0
1778197208.475,5884.231,0.0,0.0,0.0,0.0
1778197208.976,5884.733,0.0,0.0,0.0,0.0
1778197209.477,5885.234,0.0,0.0,0.0,0.0
1778197209.979,5885.735,0.0,0.0,0.0,0.0
1778197210.480,5886.237,0.0,0.0,0.0,0.0
1778197210.982,5886.739,0.0,0.0,0.0,0.0
1778197211.484,5887.240,0.0,0.0,0.0,0.0
1778197211.985,5887.741,0.0,0.0,0.0,0.0
1778197212.486,5888.243,0.0,0.0,0.0,0.0
1778197212.988,5888.744,0.0,0.0,0.0,0.0
1778197213.489,5889.246,0.0,0.0,0.0,0.0
1778197213.990,5889.747,0.0,0.0,0.0,0.0
1778197214.492,5890.249,0.0,0.0,0.0,0.0
1778197214.994,5890.751,0.0,0.0,0.0,0.0
1778197215.496,5891.252,0.0,0.0,0.0,0.0
1778197215.997,5891.754,0.0,0.0,0.0,0.0
1778197216.498,5892.255,0.0,0.0,0.0,0.0
1778197217.000,5892.756,0.0,0.0,0.0,0.0
1778197217.501,5893.257,0.0,0.0,0.0,0.0
1778197218.003,5893.759,0.0,0.0,0.0,0.0
1778197218.504,5894.260,0.0,0.0,0.0,0.0
1778197219.006,5894.762,0.0,0.0,0.0,0.0
1778197219.507,5895.263,0.0,0.0,0.0,0.0
1778197220.009,5895.765,0.0,0.0,0.0,0.0
1778197220.510,5896.267,0.0,0.0,0.0,0.0
1778197220.962,5896.718,0.0,0.0,0.0,0.0
1778197221.463,5897.220,0.0,0.0,0.0,0.0
1778197221.965,5897.721,0.0,0.0,0.0,0.0
1778197222.467,5898.223,0.0,0.0,0.0,0.0
1778197222.968,5898.725,0.0,0.0,0.0,0.0
1778197223.470,5899.226,0.0,0.0,0.0,0.0
1778197223.971,5899.728,0.0,0.0,0.0,0.0
1778197224.473,5900.229,0.0,0.0,0.0,0.0
1778197224.974,5900.731,0.0,0.0,0.0,0.0
1778197225.476,5901.233,0.0,0.0,0.0,0.0
1778197225.977,5901.734,0.0,0.0,0.0,0.0
1778197226.479,5902.235,0.0,0.0,0.0,0.0
1778197226.980,5902.737,0.0,0.0,0.0,0.0
