time_unix,monotonic,time_unix,uptime_s,cpu_load_pct,mem_used_pct,tasks_running,pixhawk_connected,vesc_connected,power_connected,photodiode_connected,pps_synced,pps_rms_us
1778195020.636,3696.393,1778195020.6293092,26.251189521000015,50.0,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195020.887,3696.643,1778195020.8801193,26.251189521000015,50.0,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195021.137,3696.894,1778195021.1308362,26.251189521000015,50.0,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195021.388,3697.145,1778195021.3815377,26.251189521000015,50.0,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195021.639,3697.395,1778195021.6322362,26.251189521000015,50.0,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195021.889,3697.646,1778195021.882953,26.251189521000015,50.0,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195022.140,3697.897,1778195022.1337514,26.251189521000015,50.0,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195022.391,3698.147,1778195022.3844788,26.251189521000015,50.0,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195022.642,3698.398,1778195022.6351745,28.270405347999713,45.99609375,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195022.893,3698.649,1778195022.88588,28.270405347999713,45.99609375,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195023.143,3698.900,1778195023.13659,28.270405347999713,45.99609375,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195023.394,3699.150,1778195023.3873494,28.270405347999713,45.99609375,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195023.645,3699.401,1778195023.6381223,28.270405347999713,45.99609375,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195023.895,3699.652,1778195023.888788,28.270405347999713,45.99609375,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195024.146,3699.903,1778195024.1394956,28.270405347999713,45.99609375,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195024.397,3700.153,1778195024.3902023,28.270405347999713,45.99609375,6.176358903521562,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195024.647,3700.404,1778195024.640927,30.290162266999687,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195024.898,3700.655,1778195024.8916092,30.290162266999687,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195025.149,3700.906,1778195025.1423132,30.290162266999687,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195025.400,3701.156,1778195025.3929942,30.290162266999687,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195025.651,3701.407,1778195025.6437347,30.290162266999687,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195025.901,3701.658,1778195025.8946462,30.290162266999687,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195026.152,3701.908,1778195026.1455576,30.290162266999687,45.99609375,6.176158783349406,12.0,1.0,1.0,0.0,0.0,1.0,0.0
